月份,定价模式_Base,自然增长_Base,推广增长_Base,新增设备_Base,设备总数_Base,订阅营收_Base,买断营收_Base,续费营收_Base,月总营收_Base,累计营收_Base,定价模式_Optimistic_Sub,自然增长_Optimistic_Sub,推广增长_Optimistic_Sub,新增设备_Optimistic_Sub,设备总数_Optimistic_Sub,订阅营收_Optimistic_Sub,买断营收_Optimistic_Sub,续费营收_Optimistic_Sub,月总营收_Optimistic_Sub,累计营收_Optimistic_Sub,定价模式_Optimistic_Buy,自然增长_Optimistic_Buy,推广增长_Optimistic_Buy,新增设备_Optimistic_Buy,设备总数_Optimistic_Buy,订阅营收_Optimistic_Buy,买断营收_Optimistic_Buy,续费营收_Optimistic_Buy,月总营收_Optimistic_Buy,累计营收_Optimistic_Buy,定价模式_Conservative,自然增长_Conservative,推广增长_Conservative,新增设备_Conservative,设备总数_Conservative,订阅营收_Conservative,买断营收_Conservative,续费营收_Conservative,月总营收_Conservative,累计营收_Conservative
1,订阅,10.0,0.0,10.0,10.0,69.0,0.0,0.0,69.0,69.0,订阅,15.0,50.0,65.0,65.0,448.5,0.0,0.0,448.5,448.5,买断,15.0,50.0,65.0,65.0,0.0,12935.0,0.0,12935.0,12935.0,订阅,8.0,30.0,38.0,38.0,262.2,0.0,0.0,262.2,262.2
2,订阅,10.5,0.0,10.5,20.3,140.07,0.0,0.0,140.07,209.07,订阅,16.5,50.0,66.5,130.85,902.87,0.0,0.0,902.87,1351.37,买断,16.5,50.0,66.5,130.85,0.0,13233.5,0.0,13233.5,26168.5,订阅,8.24,30.0,38.24,75.1,518.19,0.0,0.0,518.19,780.39
3,订阅,11.03,0.0,11.03,30.92,213.35,0.0,0.0,213.35,422.42,订阅,18.15,50.0,68.15,197.69,1364.06,0.0,0.0,1364.06,2715.43,买断,18.15,50.0,68.15,197.69,0.0,13561.85,0.0,13561.85,39730.35,订阅,8.49,30.0,38.49,111.34,768.25,0.0,0.0,768.25,1548.64
4,订阅,11.58,0.0,11.58,41.88,288.97,0.0,0.0,288.97,711.39,订阅,19.97,50.0,69.97,265.68,1833.19,0.0,0.0,1833.19,4548.62,买断,19.97,50.0,69.97,265.68,0.0,13924.03,0.0,13924.03,53654.38,订阅,8.74,30.0,38.74,146.74,1012.51,0.0,0.0,1012.51,2561.15
5,订阅,12.16,0.0,12.16,53.2,367.08,0.0,0.0,367.08,1078.47,订阅,21.96,50.0,71.96,334.98,2311.36,0.0,0.0,2311.36,6859.98,买断,21.96,50.0,71.96,334.98,0.0,14320.04,0.0,14320.04,67974.42,订阅,9.0,30.0,39.0,181.34,1251.25,0.0,0.0,1251.25,3812.4
6,订阅,12.76,0.0,12.76,64.9,447.81,0.0,0.0,447.81,1526.28,订阅,24.16,50.0,74.16,405.79,2799.95,0.0,0.0,2799.95,9659.93,买断,24.16,50.0,74.16,405.79,0.0,14757.84,0.0,14757.84,82732.26,订阅,9.27,30.0,39.27,215.17,1484.67,0.0,0.0,1484.67,5297.07
7,订阅,13.4,0.0,13.4,77.0,531.3,0.0,0.0,531.3,2057.58,订阅,26.57,50.0,76.57,478.3,3300.27,0.0,0.0,3300.27,12960.2,买断,26.57,50.0,76.57,478.3,0.0,15237.43,0.0,15237.43,97969.69,订阅,9.55,30.0,39.55,248.26,1712.99,0.0,0.0,1712.99,7010.06
8,订阅,14.07,0.0,14.07,89.53,617.76,0.0,0.0,617.76,2675.34,订阅,29.23,50.0,79.23,552.75,3813.98,0.0,0.0,3813.98,16774.18,买断,29.23,50.0,79.23,552.75,0.0,15766.77,0.0,15766.77,113736.46,订阅,9.84,30.0,39.84,280.65,1936.48,0.0,0.0,1936.48,8946.54
9,订阅,14.77,0.0,14.77,102.51,707.32,0.0,0.0,707.32,3382.66,订阅,32.15,50.0,82.15,629.37,4342.65,0.0,0.0,4342.65,21116.83,买断,32.15,50.0,82.15,629.37,0.0,16347.85,0.0,16347.85,130084.31,订阅,10.13,30.0,40.13,312.36,2155.28,0.0,0.0,2155.28,11101.82
10,订阅,15.51,0.0,15.51,115.97,800.19,0.0,0.0,800.19,4182.85,订阅,35.37,50.0,85.37,708.45,4888.31,0.0,0.0,4888.31,26005.14,买断,35.37,50.0,85.37,708.45,0.0,16988.63,0.0,16988.63,147072.94,订阅,10.44,30.0,40.44,343.43,2369.67,0.0,0.0,2369.67,13471.49
11,订阅,16.29,0.0,16.29,129.94,896.59,0.0,0.0,896.59,5079.44,订阅,38.91,50.0,88.91,790.28,5452.93,0.0,0.0,5452.93,31458.07,买断,38.91,50.0,88.91,790.28,0.0,17693.09,0.0,17693.09,164766.03,订阅,10.75,30.0,40.75,373.88,2579.77,0.0,0.0,2579.77,16051.26
12,订阅,17.1,0.0,17.1,144.44,996.64,0.0,0.0,996.64,6076.08,订阅,42.8,50.0,92.8,875.18,6038.74,0.0,0.0,6038.74,37496.81,买断,42.8,50.0,92.8,875.18,0.0,18467.2,0.0,18467.2,183233.23,订阅,11.07,30.0,41.07,403.73,2785.74,0.0,0.0,2785.74,18837.0
13,订阅,17.96,0.0,17.96,159.51,1100.62,0.0,0.0,1100.62,7176.7,订阅,47.08,50.0,97.08,963.51,6648.22,0.0,0.0,6648.22,44145.03,买断,47.08,50.0,97.08,963.51,0.0,19318.92,3195.64,22514.56,205747.79,订阅,11.41,30.0,41.41,433.03,2987.91,0.0,0.0,2987.91,21824.91
14,订阅,18.86,0.0,18.86,175.18,1208.74,0.0,0.0,1208.74,8385.44,订阅,51.78,50.0,101.78,1055.65,7283.99,0.0,0.0,7283.99,51429.02,买断,51.78,50.0,101.78,1055.65,0.0,20254.22,3501.24,23755.46,229503.25,订阅,11.75,30.0,41.75,461.79,3186.35,0.0,0.0,3186.35,25011.26
15,订阅,19.8,0.0,19.8,191.48,1321.21,0.0,0.0,1321.21,9706.65,订阅,56.96,50.0,106.96,1152.05,7949.15,0.0,0.0,7949.15,59378.17,买断,56.96,50.0,106.96,1152.05,0.0,21285.04,3820.97,25106.01,254609.26,订阅,12.1,30.0,42.1,490.04,3381.28,0.0,0.0,3381.28,28392.54
16,订阅,20.79,0.0,20.79,208.44,1438.24,0.0,0.0,1438.24,11144.89,订阅,62.66,50.0,112.66,1253.19,8647.01,0.0,0.0,8647.01,68025.18,买断,62.66,50.0,112.66,1253.19,0.0,22419.34,4156.41,26575.75,281185.01,订阅,12.46,30.0,42.46,517.8,3572.82,0.0,0.0,3572.82,31965.36
17,订阅,21.83,0.0,21.83,226.1,1560.09,0.0,0.0,1560.09,12704.98,订阅,68.92,50.0,118.92,1359.58,9381.1,0.0,0.0,9381.1,77406.28,买断,68.92,50.0,118.92,1359.58,0.0,23665.08,4509.27,28174.35,309359.36,订阅,12.84,30.0,42.84,545.11,3761.26,0.0,0.0,3761.26,35726.62
18,订阅,22.92,0.0,22.92,244.5,1687.05,0.0,0.0,1687.05,14392.03,订阅,75.82,50.0,125.82,1471.8,10155.42,0.0,0.0,10155.42,87561.7,买断,75.82,50.0,125.82,1471.8,0.0,25038.18,4881.47,29919.65,339279.01,订阅,13.22,30.0,43.22,571.98,3946.66,0.0,0.0,3946.66,39673.28
19,订阅,24.07,0.0,24.07,263.68,1819.39,0.0,0.0,1819.39,16211.42,订阅,83.4,50.0,133.4,1590.48,10974.31,0.0,0.0,10974.31,98536.01,买断,83.4,50.0,133.4,1590.48,0.0,26546.6,5275.09,31821.69,371100.7,订阅,13.62,30.0,43.62,598.44,4129.24,0.0,0.0,4129.24,43802.52
20,订阅,25.27,0.0,25.27,283.68,1957.39,0.0,0.0,1957.39,18168.81,订阅,91.74,50.0,141.74,1716.32,11842.61,0.0,0.0,11842.61,110378.62,买断,91.74,50.0,141.74,1716.32,0.0,28206.26,5692.46,33898.72,404999.42,订阅,14.03,30.0,44.03,624.52,4309.19,0.0,0.0,4309.19,48111.71
21,订阅,26.53,0.0,26.53,304.54,2101.33,0.0,0.0,2101.33,20270.14,订阅,100.91,50.0,150.91,1850.07,12765.48,0.0,0.0,12765.48,123144.1,买断,100.91,50.0,150.91,1850.07,0.0,30031.09,6136.07,36167.16,441166.58,订阅,14.45,30.0,44.45,650.23,4486.59,0.0,0.0,4486.59,52598.3
22,订阅,27.86,0.0,27.86,326.31,2251.54,0.0,0.0,2251.54,22521.68,订阅,111.0,50.0,161.0,1992.57,13748.73,0.0,0.0,13748.73,136892.83,买断,111.0,50.0,161.0,1992.57,0.0,32039.0,6608.69,38647.69,479814.27,订阅,14.88,30.0,44.88,675.6,4661.64,0.0,0.0,4661.64,57259.94
23,订阅,29.25,0.0,29.25,349.03,2408.31,0.0,0.0,2408.31,24929.99,订阅,122.1,50.0,172.1,2144.74,14798.71,0.0,0.0,14798.71,151691.54,买断,122.1,50.0,172.1,2144.74,0.0,34247.9,7113.39,41361.29,521175.56,订阅,15.33,30.0,45.33,700.66,4834.55,0.0,0.0,4834.55,62094.49
24,订阅,30.72,0.0,30.72,372.77,2572.11,0.0,0.0,2572.11,27502.1,订阅,134.31,50.0,184.31,2307.6,15922.44,0.0,0.0,15922.44,167613.98,买断,134.31,50.0,184.31,2307.6,0.0,36677.69,7653.54,44331.23,565506.79,订阅,15.79,30.0,45.79,725.43,5005.47,0.0,0.0,5005.47,67099.96
25,订阅,32.25,0.0,32.25,397.56,2743.16,0.0,0.0,2743.16,30245.26,订阅,147.75,50.0,197.75,2482.27,17127.66,0.0,0.0,17127.66,184741.64,买断,147.75,50.0,197.75,2482.27,0.0,39352.25,8232.86,47585.11,613091.9,订阅,16.26,30.0,46.26,749.93,5174.52,0.0,0.0,5174.52,72274.48
26,订阅,33.86,0.0,33.86,423.47,2921.94,0.0,0.0,2921.94,33167.2,订阅,162.52,50.0,212.52,2669.97,18422.79,0.0,0.0,18422.79,203164.43,买断,162.52,50.0,212.52,2669.97,0.0,42291.48,8855.4,51146.88,664238.78,订阅,16.75,30.0,46.75,774.18,5341.84,0.0,0.0,5341.84,77616.32
27,订阅,35.56,0.0,35.56,450.56,3108.86,0.0,0.0,3108.86,36276.06,订阅,178.77,50.0,228.77,2872.04,19817.08,0.0,0.0,19817.08,222981.51,买断,178.77,50.0,228.77,2872.04,0.0,45525.23,9525.6,55050.83,719289.61,订阅,17.25,30.0,47.25,798.2,5507.58,0.0,0.0,5507.58,83123.9
